id,category_no,emoji
1.3863299349230633e+18,7,🏼
1.388458759656067e+18,1,🤦
1.3859321001262162e+18,0,😊
1.388380346878546e+18,0,😪
1.3870775794886984e+18,3,🟤
1.3884668781803233e+18,1,🙏
1.385915349384581e+18,0,😊
1.3891959024897925e+18,0,😊
1.388484117738582e+18,0,😋
1.3871046577895178e+18,2,🌹
1.3867181027678822e+18,0,😍
1.3884880949202862e+18,9,🌊
1.389249609273287e+18,1,🙏
1.3842120441240248e+18,0,😜
1.384089926925312e+18,0,😜
1.3863228883414098e+18,1,🙏
1.3887843994711818e+18,5,🎲
1.389231704645063e+18,0,😂
1.3884965502010737e+18,1,🤲
1.3888980337823212e+18,1,🙏
1.3860138186359685e+18,1,🙏
1.3888834636426445e+18,0,😊
1.3863613155648143e+18,0,😎
1.3885370511595356e+18,0,😡
1.3859972354443264e+18,9,🚙
1.389220188772475e+18,2,🌺
1.3869648038480486e+18,1,🙏
1.386723092009939e+18,0,💯
1.3842002376826225e+18,0,😂
1.3869744101591e+18,1,🙏
1.3875252485646664e+18,0,😏
1.3888676682377093e+18,0,😂
1.388374815539536e+18,0,😊
1.387044957358203e+18,1,🙏
1.3888054190411323e+18,6,🚩
1.3892265216556155e+18,7,🏼
1.3885504224496435e+18,0,😍
1.3884306533103903e+18,0,😜
1.3863335383419658e+18,7,❤
1.3888055413092598e+18,9,🌞
1.3884392011258593e+18,1,👇
1.3863377095268966e+18,2,💐
1.386978437055746e+18,0,😜
1.389189953473581e+18,0,😂
1.3885165016033157e+18,2,🌹
1.3864039492724367e+18,0,😊
1.3888916477656678e+18,1,🙏
1.3863832664296038e+18,7,❤
1.388388610693419e+18,0,😜
1.3859636247960822e+18,1,🙏
1.3859872658227896e+18,1,👈
1.388889217267159e+18,0,😂
1.387039442100134e+18,1,🙏
1.3841999098221896e+18,2,💐
1.3863564894140785e+18,1,🙏
1.3863124708101612e+18,1,🙏
1.3892412465314816e+18,0,😬
1.388822035946672e+18,0,😁
1.3888589006323343e+18,1,🙏
1.3892261766866084e+18,1,🙏
1.3891894437985198e+18,2,🌹
1.3871125696351764e+18,1,👇
1.3888668570508575e+18,1,👍
1.3867176372294984e+18,1,🙏
1.3842267094199255e+18,0,😂
1.3841982783932006e+18,0,😂
1.3883761482628014e+18,1,💂
1.385943832420774e+18,2,🪴
1.3888327260405965e+18,0,😂
1.388402591134978e+18,1,🙏
1.386983058503471e+18,0,😊
1.3869716548452065e+18,0,😂
1.388547089517273e+18,0,😂
1.3869725332331192e+18,1,🙏
1.3884037557254636e+18,0,😢
1.3860053382943457e+18,1,🙏
1.3883875909281464e+18,1,🙏
1.3863444025540362e+18,0,😢
1.3841022066059717e+18,0,😷
1.3887818277420603e+18,7,‼
1.3859410931836805e+18,0,😏
1.3884160144009503e+18,0,😢
1.3863025309514015e+18,1,🙏
1.388902026558382e+18,0,🤪
1.3860089496404173e+18,1,🙏
1.38637491219388e+18,0,😳
1.3892146000594412e+18,0,😭
1.386000125995065e+18,6,🚩
1.3887901779888947e+18,1,🙏
1.3889046967319962e+18,1,👍
1.3875257397218836e+18,0,😜
1.3888080904898028e+18,0,😂
1.3860181571066634e+18,0,😊
1.3888766193102643e+18,0,😫
1.389228787410215e+18,1,🙏
1.38840293977387e+18,1,🙏
1.386747765946937e+18,1,🙏
1.388829954343805e+18,0,😂
1.3892147815092756e+18,0,😂
1.387020580730196e+18,1,💪
1.3860357009701317e+18,0,🤣
1.3892264756230963e+18,9,🎡
1.3870590185820324e+18,0,😂
1.3863677537374945e+18,0,😒
1.388418951751762e+18,7,☺
1.3888900620838707e+18,1,🙏
1.3870318148211917e+18,0,😡
1.3870180817723146e+18,0,😂
1.386293750826029e+18,0,😢
1.386724818226008e+18,0,😁
1.3891936140271534e+18,1,🙏
1.386390612933419e+18,0,😠
1.388545642016825e+18,7,❣
1.3859640547164488e+18,0,😋
1.3887856398149427e+18,2,🐖
1.389213171261481e+18,1,🙏
1.3888732784003318e+18,1,👌
1.3841974620306555e+18,0,😔
1.3888588035846513e+18,0,😂
1.3885362082302157e+18,0,🤔
1.3860222851741983e+18,2,🐃
1.3867134509030523e+18,1,🙏
1.3888465142528287e+18,0,😁
1.3863056621293773e+18,1,🙏
1.3887961388792177e+18,0,😂
1.3860387477670543e+18,0,😕
1.388417403088892e+18,0,😒
1.3870247866776576e+18,1,🙏
1.3840851701023007e+18,2,🍁
1.3863580196597473e+18,6,🚩
1.3869621176480113e+18,0,💖
1.3870712862332928e+18,1,🙏
1.3884385582816666e+18,1,🙏
1.3870692071000965e+18,1,🙏
1.3860290178290524e+18,1,🙏
1.3888026610514043e+18,1,🙏
1.384219369727615e+18,7,♂
1.384221436496081e+18,0,😂
1.3841995337064448e+18,0,🙄
1.3884493980744704e+18,0,😂
1.388517307119399e+18,1,🙏
1.3871177113443656e+18,2,💐
1.387100740598915e+18,0,😜
1.386359491927495e+18,0,😄
1.3870051162936852e+18,1,🙏
1.387093733687001e+18,7,❤
1.38885836592153e+18,1,🙏
1.3867382955817984e+18,1,🙏
1.388919995988537e+18,1,🙏
1.3867209835710423e+18,0,😊
1.386733485256188e+18,1,🙏
1.3884070710377062e+18,0,😐
1.386292207389266e+18,0,😄
1.3869815504623657e+18,6,🚩
1.3888029492503593e+18,7,❤
1.3859097857116938e+18,0,😄
1.3859158086106153e+18,0,🤔
1.3887895572445348e+18,0,😘
1.3867127976024842e+18,0,😊
1.3888593241438495e+18,1,🙏
1.3859943002871767e+18,0,😍
1.3884154034585887e+18,1,🙏
1.3888485149191414e+18,1,🙏
1.3866427414513787e+18,1,🙏
1.388860762844668e+18,0,😂
1.3860233499150336e+18,1,🙏
1.3888644153620234e+18,0,😜
1.386307184078717e+18,0,😑
1.3869730221001974e+18,3,✅
1.388797143104725e+18,0,🤣
1.3888145985773978e+18,0,😊
1.386291350660731e+18,3,❓
1.3889070044926198e+18,0,😂
1.3866376084369777e+18,1,🙏
1.3884396052302438e+18,0,😂
1.388874429568979e+18,0,😣
1.3869620532780114e+18,1,🙏
1.3871011212403876e+18,1,🙏
1.3883889218269716e+18,0,😏
1.3859001723795702e+18,1,🙏
1.386728262051668e+18,1,🙏
1.3870699721201787e+18,0,💫
1.38839020019225e+18,1,🙏
1.3888164449981194e+18,0,💙
1.3860009512620728e+18,0,😒
1.3859500775254958e+18,1,🙏
1.388895642638979e+18,0,😊
1.3888319849783665e+18,0,💞
1.3888089156645765e+18,2,🌹
1.3870950986434724e+18,1,👍
1.388859647205929e+18,1,👉
1.386311885155414e+18,0,😭
1.388858261839831e+18,0,😢
1.384215207161913e+18,0,😿
1.388820102183678e+18,1,🙏
1.3862909114877952e+18,7,♥
1.3859116822543892e+18,1,🙏
1.386639617542087e+18,0,😫
1.388800236311638e+18,0,😂
1.3883890000255795e+18,0,😊
1.3888333225879347e+18,0,💖
1.3870913769453036e+18,7,➡
1.3842013084464947e+18,0,💖
1.3888150821555077e+18,1,🙏
1.3884745772488704e+18,1,🙏
1.3860367866531226e+18,2,💐
1.3883751239718216e+18,1,🙏
1.3863118311871816e+18,0,😂
1.3889171951497585e+18,1,🙏
1.3888676186316513e+18,0,😄
1.3863357339342807e+18,0,😭
1.386972162276295e+18,7,‼
1.3884331248669368e+18,2,🐷
1.3885458714453033e+18,7,❤
1.388537500096897e+18,1,🙏
1.3884046012929556e+18,1,🙏
1.3885754793938166e+18,1,🙏
1.385922552141255e+18,0,🙈
1.3888371796993884e+18,0,😂
1.3884153918699356e+18,1,🙏
1.3884978678876324e+18,0,😁
1.3860009123054633e+18,3,🆔
1.3884811038963466e+18,7,❤
1.3863897488271032e+18,0,😍
1.388539005034193e+18,0,😉
1.384093303574958e+18,0,🙄
1.387009108579029e+18,7,❤
1.3888991674523525e+18,0,🤣
1.387529018182828e+18,0,😭
1.3859146772054712e+18,0,😎
1.3888419719642112e+18,1,👍
1.3863701228146606e+18,2,💐
1.3892139028151992e+18,1,🤲
1.3888811750038118e+18,1,🙏
1.3867838939535483e+18,1,👍
1.3887882918062367e+18,0,😡
1.3871094325138104e+18,0,😛
1.3863322470541148e+18,1,🙏
1.3869604314497393e+18,0,😜
1.3884700804056517e+18,0,🥵
1.3867344473833513e+18,1,🙏
1.3888084592907796e+18,1,🙏
1.3887809368173527e+18,2,🌹
1.388504437094699e+18,1,🙏
1.3885542474452255e+18,1,👍
1.388919592857178e+18,1,👍
1.3859571458966487e+18,0,😂
1.386009499652092e+18,1,👍
1.3863735486927544e+18,7,❤
1.3888510103748362e+18,1,👌
1.3884365019444388e+18,1,🙏
1.3841015318095012e+18,0,😍
1.3871010583721e+18,0,😂
1.3885144868232602e+18,1,🙏
1.3858777663068897e+18,0,😁
1.3863890274823864e+18,1,🙏
1.38704635387691e+18,2,🌸
1.3888460026401014e+18,0,😊
1.3863109712834929e+18,5,🏆
1.3859139476189102e+18,3,🆗
1.387133521366446e+18,7,❤
1.3859632842479002e+18,1,🙏
1.386964010956857e+18,7,🕉
1.3859687120632177e+18,0,😞
1.3842089298911273e+18,1,🙏
1.3888265213857014e+18,1,🙏
1.388452625440383e+18,0,😢
1.3888191680954573e+18,1,💪
1.3859018178594775e+18,0,😟
1.387074953686651e+18,0,😂
1.386350790130815e+18,0,😊
1.3884638477034127e+18,0,😢
1.386977049571578e+18,0,😢
1.3867146626919995e+18,1,🙋
1.3842258901255496e+18,1,🙏
1.3887864485815992e+18,0,😠
1.3887885087733924e+18,0,😂
1.3869760705077658e+18,0,🤔
1.3863037108175053e+18,7,☝
1.385969869691183e+18,1,🙏
1.3863629785014886e+18,0,😂
1.3841983019903263e+18,1,🙏
1.386018648834265e+18,1,🙏
1.3862907705970647e+18,1,🙏
1.3883948489363702e+18,7,❤
1.3840863810859213e+18,1,🙏
1.3859240380238152e+18,0,😢
1.387097010843525e+18,1,👌
1.3860332265908224e+18,1,🙏
1.3871039351780352e+18,1,🙏
1.3883748875934351e+18,0,😢
1.3892457216315924e+18,0,😎
1.3869629998696448e+18,1,🙏
1.389247604882428e+18,0,😭
1.3870815009825833e+18,1,🙏
1.3891932441398725e+18,1,👌
1.3888933399450788e+18,0,😂
1.3884616469311406e+18,0,😪
1.3884026260400128e+18,4,📲
1.3869994091041997e+18,0,😏
1.3859962202760888e+18,4,🪔
1.3862938495054234e+18,0,😁
1.3867151248245596e+18,0,😷
1.388539909464494e+18,6,🚩
1.3888763498599014e+18,7,❤
1.3888933205464556e+18,1,🙏
1.3888146228749476e+18,0,😌
1.389201768995717e+18,0,🥵
1.38881232417826e+18,0,😊
1.388543697696936e+18,0,🤔
1.3870094964892303e+18,0,😂
1.3888658998310707e+18,0,😂
1.3863416768519496e+18,0,😍
1.3888204337937408e+18,0,😂
1.3885041317621023e+18,1,👍
1.385957379288699e+18,3,❗
1.3863118955152343e+18,1,🙏
1.3883888674352906e+18,1,🙏
1.3867304989705544e+18,0,😁
1.3887885411702292e+18,0,🤧
1.386006673618129e+18,1,🙏
1.3863962427043594e+18,1,🙏
1.389195904180048e+18,1,🙏
1.3870815630750884e+18,0,😌
1.3841940602445578e+18,1,🙏
1.385926107384406e+18,6,🚩
1.3863295377225236e+18,1,🙏
1.386748736425005e+18,0,🤔
1.3891908937316762e+18,1,👍
1.3883893046619914e+18,1,🙏
1.3870949713254482e+18,1,🙏
1.3889041214496072e+18,0,🥺
1.3863157713834516e+18,0,😏
1.38846909984025e+18,0,😷
1.3870404086355436e+18,1,🙏
1.389244854081704e+18,0,😄
1.3883747827861627e+18,0,😥
1.3884668896055828e+18,0,😣
1.3892332869882552e+18,0,😝
1.387123642585129e+18,0,😡
1.386334861598761e+18,1,🙏
1.388847209085497e+18,0,😁
1.3888877353692242e+18,0,💫
1.389190914933891e+18,1,🙏
1.386340575826174e+18,1,🙏
1.3892411713527767e+18,1,🙏
1.3883884536964792e+18,1,🙏
1.3860113454563082e+18,0,😡
1.3883768249888154e+18,0,😄
1.3863732595751936e+18,1,🤷
1.3867135092332626e+18,7,❤
1.389236102834258e+18,0,😂
1.388451824068219e+18,0,😁
1.3885080632215183e+18,0,😂
1.3888724533471027e+18,0,😂
1.3867216523947172e+18,0,🤣
1.3885812723651092e+18,0,😜
1.388455376144638e+18,0,😣
1.384226628318888e+18,0,😔
1.3869814804048978e+18,0,😁
1.3870082058642842e+18,0,😜
1.388837337216471e+18,0,😕
1.3884337015670866e+18,0,😥
1.3859159545219932e+18,1,🙏
1.3840999416440054e+18,2,🌸
1.386335883423482e+18,1,🙏
1.3892493610920878e+18,0,😡
1.3870187989941166e+18,7,🏻
1.388500156031533e+18,0,😳
1.3863588708475494e+18,1,🙏
1.388510828047917e+18,1,🙏
1.386737483036037e+18,0,😁
1.3883886508664627e+18,0,😂
1.3870064537355592e+18,7,✍
1.3888878375173898e+18,1,🙌
1.3863830417826816e+18,1,🙏
1.3859562801755136e+18,0,😊
1.3859180515942932e+18,0,😭
1.3887807721321472e+18,1,🙏
1.3885399589195323e+18,0,😂
1.3859140852633518e+18,0,😂
1.386732076632707e+18,0,😔
1.3863152811448156e+18,1,👆
1.386346636117373e+18,1,🙌
1.3883761895851663e+18,1,🙏
1.388823535343358e+18,0,😡
1.3885144672358523e+18,0,😥
1.387113790311854e+18,0,😂
1.3885422343126712e+18,7,❤
1.3858995806134804e+18,1,👫
1.3870983954210038e+18,1,🙏
1.385909790262448e+18,0,😡
1.3867728809652593e+18,1,🙏
1.3840894491941642e+18,0,😊
1.38634319294609e+18,0,😷
1.3869636569113805e+18,1,🙏
1.3883969641112166e+18,0,🤬
1.387073277902791e+18,1,🙏
1.385899714105594e+18,0,😠
1.386337303182905e+18,2,💐
1.384204203774468e+18,0,😂
1.3888829391071027e+18,1,🙏
1.385919799495037e+18,0,💔
1.3863354825612698e+18,0,😢
1.386777752536109e+18,0,😐
1.3870695843441172e+18,1,🙏
1.3866387486794342e+18,1,🙏
1.3888339827044065e+18,0,😎
1.388563500725719e+18,0,💔
1.3867470564677632e+18,1,🙏
1.3867358002812887e+18,0,😊
1.3869995807770952e+18,1,🙌
1.3860446565935104e+18,0,😭
1.3860060465068442e+18,1,🙏
1.3867193136719053e+18,0,😘
1.386299987890303e+18,1,🙏
1.386746139005784e+18,1,🙏
1.3869628434135818e+18,1,🙏
1.3892114713352315e+18,0,😂
1.3892089411716424e+18,0,😏
1.3863941062517924e+18,0,😌
1.3840881887638528e+18,1,🙇
1.387022656478777e+18,2,💐
1.3884471354109706e+18,1,🙏
1.3870714004736328e+18,1,🙏
1.3888884787970908e+18,0,😌
1.3884385757761577e+18,0,😉
1.3859592659160023e+18,2,🌿
1.388806505789497e+18,0,😂
1.386330638404309e+18,1,👥
1.3870062433785856e+18,6,🚩
1.3864070882560246e+18,0,😎
1.3887922432013312e+18,0,😂
1.38887656989295e+18,2,🌼
1.385967238675501e+18,0,😂
1.3883972374540493e+18,1,🙏
1.3842174233273508e+18,0,😍
1.385949380432208e+18,0,😢
1.3860362771625656e+18,0,🙈
1.3884860905085665e+18,0,😜
1.3863617851926487e+18,0,😂
1.3888600010499277e+18,0,😂
1.386352729723863e+18,1,🙏
1.3859721755180603e+18,3,🔱
1.388433846798934e+18,1,🙏
1.386293988768981e+18,0,😡
1.3863075600141722e+18,0,😊
1.3860304887840522e+18,0,😔
1.386310070091219e+18,1,👉
1.386389152191578e+18,1,🙏
1.3863599865619825e+18,1,👇
1.3842059653276672e+18,1,🙏
1.3859968261180252e+18,0,😠
1.3871213145240576e+18,1,🤷
1.3840912259600548e+18,1,🙏
1.3884143472195953e+18,1,👏
1.386781977471189e+18,1,🙏
1.386393481782784e+18,0,😂
1.384194002073776e+18,1,🙏
1.3863032062678426e+18,0,😂
1.387080106963718e+18,1,🙏
1.38839200461944e+18,1,🙏
1.388871917503873e+18,0,😊
1.3888073385307218e+18,0,😒
1.3884588020898406e+18,0,😉
1.3863507981167698e+18,1,👊
1.387103957600772e+18,0,😎
1.3889103359443968e+18,0,💔
1.3859474615506903e+18,0,😊
1.3884601734931046e+18,1,🙌
1.3862844394125107e+18,0,😂
1.386960795783762e+18,1,🙏
1.3867338215805665e+18,1,🙏
1.3887920260118815e+18,0,😂
1.388815395860013e+18,0,😌
1.3863285854518927e+18,0,😜
1.3884573073196728e+18,1,🙏
1.3888344991615836e+18,0,😜
1.3888412545327473e+18,1,🙏
1.3888758828240404e+18,0,😕
1.3840975901243023e+18,1,🙏
1.3888696378744914e+18,0,😂
1.3842126087319347e+18,0,😢
1.3889037603788104e+18,1,👉
1.3888395693286892e+18,0,😡
1.3891913167985336e+18,0,😜
1.3883986083329556e+18,1,👍
1.3889123135293645e+18,1,👍
1.388455200587862e+18,1,🙏
1.3867415374642176e+18,1,🙏
1.3884623700290683e+18,1,🙏
1.3869862054226452e+18,0,😤
1.389211237976666e+18,1,🙏
1.388395258396889e+18,1,👇
1.3859345890429092e+18,1,🙏
1.3859604954258842e+18,1,🙏
1.388890309858259e+18,0,😣
1.386377433385816e+18,9,🦽
1.3892276484553073e+18,0,😖
1.3870391731823247e+18,0,😂
1.3871464226051482e+18,0,😡
1.3859257338312458e+18,1,🙏
1.3889006800399524e+18,1,🙏
1.387106439915729e+18,0,😎
1.3892296507909407e+18,0,😑
1.3867257867495752e+18,0,😂
1.3892097078946406e+18,1,🙏
1.3859939261301146e+18,0,😂
1.3892254952927846e+18,1,🙏
1.3863593090055864e+18,0,😭
1.3867195624359895e+18,1,🙏
1.3867334790276424e+18,0,💔
1.3867335395851428e+18,1,👍
1.389230226404565e+18,0,😁
1.3870882405664236e+18,1,🙏
1.387073277902791e+18,0,😊
1.388456478504153e+18,1,🙏
1.3888603140792852e+18,0,😜
1.386285343922561e+18,1,🙏
1.3840976595232686e+18,1,🎅
1.3863608238748713e+18,6,🚩
1.3888635979634074e+18,0,🙄
1.388899218761261e+18,7,🏻
1.3870954207534367e+18,0,😳
1.387112114624422e+18,0,😎
1.3870276634752778e+18,0,😷
1.386346170742567e+18,1,🙏
1.3885066492503327e+18,0,💔
1.3892228025914122e+18,0,💕
1.3885460468300718e+18,1,🙏
1.387047314573828e+18,1,🙏
1.3862850274329313e+18,7,❤
1.389191633833382e+18,0,😂
1.3892421876955505e+18,1,🙏
1.386320195967357e+18,0,😜
1.3891988450625167e+18,1,👉
1.3883963274914245e+18,0,😐
1.3841941644688507e+18,0,😍
1.3863214010621993e+18,1,🙏
1.3863659886862868e+18,0,😍
1.38409095143859e+18,1,🙏
1.38888096330052e+18,0,😜
1.385910798405423e+18,0,🤪
1.3892350461842104e+18,1,🙏
1.3860090651809833e+18,0,💔
1.3840986506540687e+18,0,😂
1.3888618937255936e+18,1,🙏
1.387078691889369e+18,0,😁
1.38887785768269e+18,0,😆
1.3870800106834698e+18,0,😁
1.388552409761284e+18,0,😠
1.3859025214036746e+18,0,😂
1.3884700804056517e+18,0,😍
1.3888941182569062e+18,0,😂
1.3883913737373942e+18,2,🌷
1.384101752992002e+18,1,👌
1.3892186459521925e+18,1,🙏
1.3871342683341742e+18,1,🙏
1.3863800028122604e+18,2,🌻
1.388391053737091e+18,7,🏻
1.3888690161445642e+18,0,😂
1.3863156580156375e+18,1,🙏
1.388419480859013e+18,0,😡
1.387052145254355e+18,4,👞
1.3885457422020526e+18,0,😧
1.3870525656285594e+18,0,🤗
1.3891991560533074e+18,1,👆
1.38641768586965e+18,0,💀
1.3884334585658163e+18,0,😂
1.3859395865729802e+18,0,😂
1.3885782219611423e+18,1,🙏
1.38878050417911e+18,0,😥
1.388553103721472e+18,0,😀
1.3863588216944927e+18,1,🙏
1.386971227042947e+18,0,😴
1.389245114652844e+18,0,😁
1.386334486321787e+18,0,😢
1.385924992169222e+18,0,🤔
1.388447945532473e+18,7,🏿
1.3892034595225313e+18,0,🤔
1.3884453425641925e+18,1,🙏
1.3885385246143324e+18,0,🤮
1.3862936309235466e+18,0,😷
1.3844286996346552e+18,1,👉
1.3885366225435607e+18,1,🙏
1.3869733281459937e+18,1,🙏
1.3888304771303465e+18,1,🙏
1.3841979683837297e+18,0,🙊
1.3888824211861094e+18,0,😂
1.3884630948174277e+18,1,🙏
1.386390463486202e+18,1,🙏
1.3892224346796237e+18,1,👍
1.3859422622243594e+18,0,😭
1.3884174989035643e+18,0,😡
1.3884557054898053e+18,0,😌
1.3888095893537137e+18,0,😷
1.387085807568134e+18,0,😂
1.389236979523588e+18,1,🙏
1.3840951064294564e+18,0,😂
1.3840881603222856e+18,0,🙄
1.3887848093259817e+18,0,🤭
1.3892216333577953e+18,5,🏆
1.3888879835462656e+18,0,😂
1.3884312429540844e+18,0,😨
1.388559085516165e+18,0,😂
1.388813524206424e+18,1,👧
1.3859605779529933e+18,5,✨
1.3888395585619108e+18,2,🦇
1.3892417953394524e+18,0,😷
1.3863027174259794e+18,2,🌹
1.3883913880147272e+18,0,😓
1.3867547266839388e+18,1,🙏
1.3859067294146642e+18,1,🙏
1.3860365623081247e+18,7,❤
1.3885539522878136e+18,1,💪
1.3887885411702292e+18,0,🤑
1.3870605403258266e+18,0,😂
1.388392447521149e+18,1,🙏
1.386967005274665e+18,0,🤔
1.3869720412202803e+18,1,🙏
1.3863725041432904e+18,1,🙏
1.3884572291545866e+18,7,®
1.386380646927401e+18,0,😠
1.386975563055833e+18,0,🤣
1.3871118659357983e+18,1,🙏
1.3867193335444972e+18,1,🙏
1.3883894955657871e+18,1,🙏
1.389204424396923e+18,1,🙏
1.388781568634749e+18,1,🙏
1.386300070291673e+18,0,😂
1.3888159331336274e+18,0,😂
1.3888450076252856e+18,1,🙏
1.3871175498930217e+18,0,😂
1.3885122783040717e+18,8,🥕
1.3859185208866652e+18,1,🙏
1.3863591605523784e+18,0,😊
1.3867731227753513e+18,0,😓
1.3887971471982797e+18,0,😬
1.38594998369468e+18,1,🙏
1.3860017566650368e+18,0,😪
1.388818752616112e+18,0,😂
1.3859283766663782e+18,1,🙏
1.3892444310945382e+18,0,😅
1.386337571324711e+18,0,😡
1.3869767412273398e+18,0,😔
1.3863938713036472e+18,1,🙏
1.385947709970862e+18,0,😍
1.3859010511072174e+18,2,🌹
1.3884408844762153e+18,0,💔
1.386050162586362e+18,1,🙏
1.3870620235827323e+18,0,🤣
1.3840930707323945e+18,7,♂
1.3885725283527885e+18,0,😍
1.388376471555625e+18,7,❣
1.3892276975538708e+18,0,😢
1.3891933158709084e+18,0,🙂
1.3888809270785843e+18,1,🙏
1.386287338226e+18,0,😊
1.387084301531947e+18,3,❓
1.3869675261022945e+18,1,🙏
1.3888175604271104e+18,1,🙏
1.387000121024336e+18,0,🙊
1.38630920647143e+18,0,💯
1.3888382748196332e+18,0,🙈
1.3870205355197932e+18,1,🙏
1.386970449607676e+18,1,🙏
1.388806027357823e+18,0,😁
1.3885004677312348e+18,0,😷
1.3888569007295242e+18,0,😂
1.3860365623081247e+18,4,👑
1.388546032292614e+18,0,😐
1.3891895044816443e+18,2,🌺
1.3867443246798684e+18,1,🙏
1.3840955881872138e+18,0,😐
1.38924499905783e+18,0,😊
1.3885554302180147e+18,9,🔥
1.3867143834351944e+18,0,😁
1.386009466823344e+18,0,😜
1.3884178240544113e+18,0,😞
1.3870470441544663e+18,1,🙏
1.3888354933794038e+18,1,🙏
1.385931300595327e+18,0,😋
1.3892308273518592e+18,0,😄
1.3863184394808484e+18,1,🙏
1.388803916414931e+18,0,😁
1.3884698795906867e+18,0,😠
1.386038206114648e+18,1,🤦
1.386773005410263e+18,1,🙏
1.3863596107395932e+18,0,😡
1.3863622060281364e+18,7,🏻
1.3870239854020076e+18,0,😎
1.3840921508544225e+18,2,🌺
1.388546799024042e+18,0,😪
1.3860009297327186e+18,1,🙏
1.3870085114694902e+18,0,🤔
1.3889207740612895e+18,1,🙏
1.3859068187364762e+18,1,🙏
1.3867570666189292e+18,7,✍
1.3842053635625206e+18,0,😎
1.3863278454130852e+18,0,😥
